"source"	"region"	"district"	"settlement"	"type"	"lat"	"lon"	"darya_no"	"question_id"	"question"	"category"	"unit1"	"unit2"	"comment"
"ДАРЯ (выборка)"	"Удмуртская Республика"	"Завьяловский район"	"д. Русская Лоза"	"деревня"	"56.8165"	"53.3895"	"1"	"F01_G"	"Реализация фонемы /г/ (взрывная [g] / фрикативная [ɣ])"	"Фонетика"	"взрывной [g]"	""	"Источник: данные одногруппника; вопрос переформулирован"
"ДАРЯ (выборка)"	"Удмуртская Республика"	"Завьяловский район"	"д. Русская Лоза"	"деревня"	"56.8165"	"53.3895"	"4"	"L01_HOUSE"	"Лексема для обозначения крестьянского жилища"	"Лексика"	"изба"	""	"Источник: данные одногруппника; вопрос переформулирован"
"ДАРЯ (выборка)"	"Удмуртская Республика"	"Завьяловский район"	"д. Русская Лоза"	"деревня"	"56.8165"	"53.3895"	"5"	"S01_POS"	"Посессивная конструкция (аналог «у меня есть»)"	"Синтаксис"	"у меня есть"	""	"Источник: данные одногруппника; вопрос переформулирован"
"ДАРЯ (выборка)"	"Удмуртская Республика"	"Завьяловский район"	"с. Завьялово"	"село"	"56.7892"	"53.3736"	"1"	"F01_G"	"Реализация фонемы /г/ (взрывная [g] / фрикативная [ɣ])"	"Фонетика"	"взрывной [g]"	""	"Источник: данные одногруппника; вопрос переформулирован"
"ДАРЯ (выборка)"	"Удмуртская Республика"	"Завьяловский район"	"с. Завьялово"	"село"	"56.7892"	"53.3736"	"4"	"L01_HOUSE"	"Лексема для обозначения крестьянского жилища"	"Лексика"	"изба"	""	"Источник: данные одногруппника; вопрос переформулирован"
"ДАРЯ (выборка)"	"Удмуртская Республика"	"Завьяловский район"	"с. Завьялово"	"село"	"56.7892"	"53.3736"	"5"	"S01_POS"	"Посессивная конструкция (аналог «у меня есть»)"	"Синтаксис"	"у меня есть"	""	"Источник: данные одногруппника; вопрос переформулирован"
"ДАРЯ (выборка)"	"Удмуртская Республика"	"Игринский район"	"с. Зура"	"село"	"57.5269"	"53.0247"	"1"	"F01_G"	"Реализация фонемы /г/ (взрывная [g] / фрикативная [ɣ])"	"Фонетика"	"фрикативный [ɣ]"	""	"Источник: данные одногруппника; вопрос переформулирован"
"ДАРЯ (выборка)"	"Удмуртская Республика"	"Игринский район"	"с. Зура"	"село"	"57.5269"	"53.0247"	"4"	"L01_HOUSE"	"Лексема для обозначения крестьянского жилища"	"Лексика"	"хата"	""	"Источник: данные одногруппника; вопрос переформулирован"
"ДАРЯ (выборка)"	"Удмуртская Республика"	"Игринский район"	"с. Зура"	"село"	"57.5269"	"53.0247"	"5"	"S01_POS"	"Посессивная конструкция (аналог «у меня есть»)"	"Синтаксис"	"у мене є"	""	"Источник: данные одногруппника; вопрос переформулирован"
"ДАРЯ (выборка)"	"Удмуртская Республика"	"Шарканский район"	"с. Шаркан"	"село"	"57.0494"	"53.9967"	"1"	"F01_G"	"Реализация фонемы /г/ (взрывная [g] / фрикативная [ɣ])"	"Фонетика"	"фрикативный [ɣ]"	""	"Источник: данные одногруппника; вопрос переформулирован"
"ДАРЯ (выборка)"	"Удмуртская Республика"	"Шарканский район"	"с. Шаркан"	"село"	"57.0494"	"53.9967"	"4"	"L01_HOUSE"	"Лексема для обозначения крестьянского жилища"	"Лексика"	"хата"	""	"Источник: данные одногруппника; вопрос переформулирован"
"ДАРЯ (выборка)"	"Удмуртская Республика"	"Шарканский район"	"с. Шаркан"	"село"	"57.0494"	"53.9967"	"5"	"S01_POS"	"Посессивная конструкция (аналог «у меня есть»)"	"Синтаксис"	"у мене є"	""	"Источник: данные одногруппника; вопрос переформулирован"
"ДАРЯ (выборка)"	"Удмуртская Республика"	"Увинский район"	"п. Ува"	"поселок"	"56.9808"	"52.1851"	"1"	"F01_G"	"Реализация фонемы /г/ (взрывная [g] / фрикативная [ɣ])"	"Фонетика"	"взрывной [g]"	""	"Источник: данные одногруппника; вопрос переформулирован"
"ДАРЯ (выборка)"	"Удмуртская Республика"	"Увинский район"	"п. Ува"	"поселок"	"56.9808"	"52.1851"	"4"	"L01_HOUSE"	"Лексема для обозначения крестьянского жилища"	"Лексика"	"изба"	""	"Источник: данные одногруппника; вопрос переформулирован"
"ДАРЯ (выборка)"	"Удмуртская Республика"	"Увинский район"	"п. Ува"	"поселок"	"56.9808"	"52.1851"	"5"	"S01_POS"	"Посессивная конструкция (аналог «у меня есть»)"	"Синтаксис"	"у меня есть"	""	"Источник: данные одногруппника; вопрос переформулирован"
"ДАРЯ (выборка)"	"Удмуртская Республика"	"Вавожский район"	"с. Вавож"	"село"	"56.7756"	"51.9289"	"1"	"F01_G"	"Реализация фонемы /г/ (взрывная [g] / фрикативная [ɣ])"	"Фонетика"	"фрикативный [ɣ]"	""	"Источник: данные одногруппника; вопрос переформулирован"
"ДАРЯ (выборка)"	"Удмуртская Республика"	"Вавожский район"	"с. Вавож"	"село"	"56.7756"	"51.9289"	"4"	"L01_HOUSE"	"Лексема для обозначения крестьянского жилища"	"Лексика"	"изба"	""	"Источник: данные одногруппника; вопрос переформулирован"
"ДАРЯ (выборка)"	"Удмуртская Республика"	"Вавожский район"	"с. Вавож"	"село"	"56.7756"	"51.9289"	"5"	"S01_POS"	"Посессивная конструкция (аналог «у меня есть»)"	"Синтаксис"	"у меня есть"	""	"Источник: данные одногруппника; вопрос переформулирован"
"ДАРЯ (выборка)"	"Удмуртская Республика"	"Дебесский район"	"с. Дебесы"	"село"	"57.6514"	"53.8058"	"1"	"F01_G"	"Реализация фонемы /г/ (взрывная [g] / фрикативная [ɣ])"	"Фонетика"	"взрывной [g]"	""	"Источник: данные одногруппника; вопрос переформулирован"
"ДАРЯ (выборка)"	"Удмуртская Республика"	"Дебесский район"	"с. Дебесы"	"село"	"57.6514"	"53.8058"	"4"	"L01_HOUSE"	"Лексема для обозначения крестьянского жилища"	"Лексика"	"изба"	""	"Источник: данные одногруппника; вопрос переформулирован"
"ДАРЯ (выборка)"	"Удмуртская Республика"	"Дебесский район"	"с. Дебесы"	"село"	"57.6514"	"53.8058"	"5"	"S01_POS"	"Посессивная конструкция (аналог «у меня есть»)"	"Синтаксис"	"у меня есть"	""	"Источник: данные одногруппника; вопрос переформулирован"
"ДАРЯ (выборка)"	"Пермский край"	"Чайковский район"	"с. Фоки"	"село"	"56.6939"	"54.1131"	"1"	"F01_G"	"Реализация фонемы /г/ (взрывная [g] / фрикативная [ɣ])"	"Фонетика"	"взрывной [g]"	""	"Источник: данные одногруппника; вопрос переформулирован"
"ДАРЯ (выборка)"	"Пермский край"	"Чайковский район"	"с. Фоки"	"село"	"56.6939"	"54.1131"	"4"	"L01_HOUSE"	"Лексема для обозначения крестьянского жилища"	"Лексика"	"изба"	""	"Источник: данные одногруппника; вопрос переформулирован"
"ДАРЯ (выборка)"	"Пермский край"	"Чайковский район"	"с. Фоки"	"село"	"56.6939"	"54.1131"	"5"	"S01_POS"	"Посессивная конструкция (аналог «у меня есть»)"	"Синтаксис"	"есть"	""	"Источник: данные одногруппника; вопрос переформулирован"
"ДАРЯ (выборка)"	"Республика Татарстан"	"Елабужский район"	"с. Танайка"	"село"	"55.7891"	"52.0345"	"1"	"F01_G"	"Реализация фонемы /г/ (взрывная [g] / фрикативная [ɣ])"	"Фонетика"	"взрывной [g]"	""	"Источник: данные одногруппника; вопрос переформулирован"
"ДАРЯ (выборка)"	"Республика Татарстан"	"Елабужский район"	"с. Танайка"	"село"	"55.7891"	"52.0345"	"4"	"L01_HOUSE"	"Лексема для обозначения крестьянского жилища"	"Лексика"	"изба"	""	"Источник: данные одногруппника; вопрос переформулирован"
"ДАРЯ (выборка)"	"Республика Татарстан"	"Елабужский район"	"с. Танайка"	"село"	"55.7891"	"52.0345"	"5"	"S01_POS"	"Посессивная конструкция (аналог «у меня есть»)"	"Синтаксис"	"бар"	""	"Источник: данные одногруппника; вопрос переформулирован"
"ДАРЯ (выборка)"	"Республика Башкортостан"	"Янаульский район"	"с. Янаул"	"село"	"56.2658"	"54.9347"	"1"	"F01_G"	"Реализация фонемы /г/ (взрывная [g] / фрикативная [ɣ])"	"Фонетика"	"взрывной [g]"	""	"Источник: данные одногруппника; вопрос переформулирован"
"ДАРЯ (выборка)"	"Республика Башкортостан"	"Янаульский район"	"с. Янаул"	"село"	"56.2658"	"54.9347"	"4"	"L01_HOUSE"	"Лексема для обозначения крестьянского жилища"	"Лексика"	"изба"	""	"Источник: данные одногруппника; вопрос переформулирован"
"ДАРЯ (выборка)"	"Республика Башкортостан"	"Янаульский район"	"с. Янаул"	"село"	"56.2658"	"54.9347"	"5"	"S01_POS"	"Посессивная конструкция (аналог «у меня есть»)"	"Синтаксис"	"у меня есть"	""	"Источник: данные одногруппника; вопрос переформулирован"
